center,left,right,steering,brake,throttle,speed,,,,,,
./IMG/center_2017_01_30_22_08_01_030.jpg, ./IMG/left_2017_01_30_22_08_01_030.jpg, ./IMG/right_2017_01_30_22_08_01_030.jpg,0,0,0,8.23E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_130.jpg, ./IMG/left_2017_01_30_22_08_01_130.jpg, ./IMG/right_2017_01_30_22_08_01_130.jpg,0,0,0,8.33E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_235.jpg, ./IMG/left_2017_01_30_22_08_01_235.jpg, ./IMG/right_2017_01_30_22_08_01_235.jpg,0,0,0,8.25E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_337.jpg, ./IMG/left_2017_01_30_22_08_01_337.jpg, ./IMG/right_2017_01_30_22_08_01_337.jpg,0,0,0,8.27E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_439.jpg, ./IMG/left_2017_01_30_22_08_01_439.jpg, ./IMG/right_2017_01_30_22_08_01_439.jpg,0,0,0,8.29E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_541.jpg, ./IMG/left_2017_01_30_22_08_01_541.jpg, ./IMG/right_2017_01_30_22_08_01_541.jpg,0,0,0,8.21E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_652.jpg, ./IMG/left_2017_01_30_22_08_01_652.jpg, ./IMG/right_2017_01_30_22_08_01_652.jpg,0,0,0,8.21E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_755.jpg, ./IMG/left_2017_01_30_22_08_01_755.jpg, ./IMG/right_2017_01_30_22_08_01_755.jpg,0,0,0,8.27E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_869.jpg, ./IMG/left_2017_01_30_22_08_01_869.jpg, ./IMG/right_2017_01_30_22_08_01_869.jpg,0,0,0,8.22E-05,,,,,,
./IMG/center_2017_01_30_22_08_01_973.jpg, ./IMG/left_2017_01_30_22_08_01_973.jpg, ./IMG/right_2017_01_30_22_08_01_973.jpg,0,0,0,8.21E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_074.jpg, ./IMG/left_2017_01_30_22_08_02_074.jpg, ./IMG/right_2017_01_30_22_08_02_074.jpg,0,0,0,8.24E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_177.jpg, ./IMG/left_2017_01_30_22_08_02_177.jpg, ./IMG/right_2017_01_30_22_08_02_177.jpg,0,0,0,8.30E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_287.jpg, ./IMG/left_2017_01_30_22_08_02_287.jpg, ./IMG/right_2017_01_30_22_08_02_287.jpg,0,0,0,8.20E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_391.jpg, ./IMG/left_2017_01_30_22_08_02_391.jpg, ./IMG/right_2017_01_30_22_08_02_391.jpg,0,0,0,8.23E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_492.jpg, ./IMG/left_2017_01_30_22_08_02_492.jpg, ./IMG/right_2017_01_30_22_08_02_492.jpg,0,0,0,8.28E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_596.jpg, ./IMG/left_2017_01_30_22_08_02_596.jpg, ./IMG/right_2017_01_30_22_08_02_596.jpg,0,0,0,8.24E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_699.jpg, ./IMG/left_2017_01_30_22_08_02_699.jpg, ./IMG/right_2017_01_30_22_08_02_699.jpg,0,0,0,8.22E-05,,,,,,
./IMG/center_2017_01_30_22_08_02_810.jpg, ./IMG/left_2017_01_30_22_08_02_810.jpg, ./IMG/right_2017_01_30_22_08_02_810.jpg,0,0.180336,0,0.1120911,,,,,,
./IMG/center_2017_01_30_22_08_02_914.jpg, ./IMG/left_2017_01_30_22_08_02_914.jpg, ./IMG/right_2017_01_30_22_08_02_914.jpg,0,0.4928731,0,0.5344267,,,,,,
./IMG/center_2017_01_30_22_08_03_016.jpg, ./IMG/left_2017_01_30_22_08_03_016.jpg, ./IMG/right_2017_01_30_22_08_03_016.jpg,0,0.780783,0,1.322775,,,,,,
./IMG/center_2017_01_30_22_08_03_123.jpg, ./IMG/left_2017_01_30_22_08_03_123.jpg, ./IMG/right_2017_01_30_22_08_03_123.jpg,0,1,0,2.42493,,,,,,
./IMG/center_2017_01_30_22_08_03_225.jpg, ./IMG/left_2017_01_30_22_08_03_225.jpg, ./IMG/right_2017_01_30_22_08_03_225.jpg,0,1,0,3.605318,,,,,,
./IMG/center_2017_01_30_22_08_03_330.jpg, ./IMG/left_2017_01_30_22_08_03_330.jpg, ./IMG/right_2017_01_30_22_08_03_330.jpg,0,1,0,5.00912,,,,,,
./IMG/center_2017_01_30_22_08_03_437.jpg, ./IMG/left_2017_01_30_22_08_03_437.jpg, ./IMG/right_2017_01_30_22_08_03_437.jpg,0,0.9664271,0,6.132758,,,,,,
./IMG/center_2017_01_30_22_08_03_538.jpg, ./IMG/left_2017_01_30_22_08_03_538.jpg, ./IMG/right_2017_01_30_22_08_03_538.jpg,0,1,0,7.275803,,,,,,
./IMG/center_2017_01_30_22_08_03_642.jpg, ./IMG/left_2017_01_30_22_08_03_642.jpg, ./IMG/right_2017_01_30_22_08_03_642.jpg,-0.03492004,1,0,8.409545,,,,,,
./IMG/center_2017_01_30_22_08_03_754.jpg, ./IMG/left_2017_01_30_22_08_03_754.jpg, ./IMG/right_2017_01_30_22_08_03_754.jpg,-0.1395269,1,0,9.687354,,,,,,
./IMG/center_2017_01_30_22_08_03_858.jpg, ./IMG/left_2017_01_30_22_08_03_858.jpg, ./IMG/right_2017_01_30_22_08_03_858.jpg,0,1,0,10.79397,,,,,,
